date,oyster_num,gear,location,trt,slipper,barnacles,mussels,tunicates,comments
8/15/22,4,BP,in,BPi,1,,,,
8/15/22,24,FB,in,FBi,,,,1,Colonial
8/15/22,25,FB,in,FBi,,1,,,
8/15/22,26,FB,in,FBi,,,,1,Colonial
8/15/22,27,FB,in,FBi,,,,1,Solitary
8/15/22,29,FB,in,FBi,,1,,,
8/15/22,31,FB,in,FBi,1,,,,
8/15/22,36,FB,in,FBi,1,,,,
8/15/22,63,BP,out,BPo,,7,,,
8/15/22,65,BP,out,BPo,1,,,,
8/15/22,77,BP,out,BPo,,1,,,
8/15/22,84,FB,out,FBo,1,,,,
8/15/22,85,FB,out,FBo,,4,,,
8/15/22,86,FB,out,FBo,1,,,,
8/15/22,89,FB,out,FBo,,11,,,
8/15/22,90,FB,out,FBo,,,1,,
8/15/22,91,FB,out,FBo,,3,,,
8/15/22,93,FB,out,FBo,,1,,,
8/15/22,94,FB,out,FBo,2,,,,
8/15/22,95,FB,out,FBo,1,,,,
8/15/22,96,FB,out,FBo,,1,2,,
8/15/22,98,FB,out,FBo,,,,1,Colonial
8/15/22,118,FC,out,FCo,,20,,,
8/15/22,102,FC,out,FCo,,5,,,
8/15/22,103,FC,out,FCo,,1,,,
8/15/22,109,FC,out,FCo,,2,,,
8/15/22,110,FC,out,FCo,,2,,,
10/17/22,1,FB,out,FBo,,,1,1,
10/17/22,7,FB,out,FBo,,2,,1,
10/17/22,8,FB,out,FBo,,,1,,
10/17/22,9,FB,out,FBo,,3,,1,
10/17/22,10,FB,out,FBo,,,1,,
10/17/22,11,FB,out,FBo,,14,,,
10/17/22,12,FB,out,FBo,,,,1,
10/17/22,13,FB,out,FBo,,1,1,,Also an anemone present
10/17/22,14,FB,out,FBo,,,2,1,
10/17/22,15,FB,out,FBo,,,1,,
10/17/22,16,FB,out,FBo,,,,2,
10/17/22,18,FB,out,FBo,,,3,,
10/17/22,21,FB,in,FBi,,1,,,
10/17/22,36,FB,in,FBi,,,1,,
10/17/22,50,FC,in,FCi,,3,,,
10/17/22,66,FC,out,FCo,,2,,,
10/17/22,76,FC,out,FCo,,2,,,
10/17/22,81,BP,out,BPo,1,,,,
10/17/22,83,BP,out,BPo,,3,,,
10/17/22,84,BP,out,BPo,1,,,,
10/17/22,88,BP,out,BPo,1,,,,
10/17/22,90,BP,out,BPo,1,,,,
10/17/22,91,BP,out,BPo,,8,,,
10/17/22,93,BP,out,BPo,,1,,,
10/17/22,97,BP,out,BPo,1,,,,
10/17/22,98,BP,out,BPo,,1,,,
10/17/22,100,BP,out,BPo,1,,,,
10/17/22,101,BP,in,BPi,3,,,,
10/17/22,102,BP,in,BPi,2,,,,
10/17/22,105,BP,in,BPi,,1,,,
10/17/22,106,BP,in,BPi,3,,,,
10/17/22,108,BP,in,BPi,1,,,,
10/17/22,114,BP,in,BPi,1,,,,
10/17/22,116,BP,in,BPi,1,,,,
10/17/22,117,BP,in,BPi,5,,,,
10/17/22,118,BP,in,BPi,1,,,,
10/17/22,119,BP,in,BPi,1,,,,
10/17/22,120,BP,in,BPi,1,,,,