Month,Day,high_time_am,high_ft_am,high_time_pm,high_ft_pm,low_time_am,low_ft_am,low_time_pm,low_ft_pm
06,01,12:41,9.7,1:24,8.5,7:14,0.1,7:13,1.6
06,02,1:18,9.6,2:02,8.3,7:52,0.3,7:51,1.7
06,03,1:56,9.4,2:42,8.2,8:30,0.5,8:31,1.8
06,04,2:36,9.2,3:25,8.1,9:11,0.7,9:15,1.9
06,05,3:20,9,4:09,8.1,9:54,0.8,10:02,2
06,06,4:07,8.9,4:55,8.2,10:38,0.9,10:53,1.9
06,07,4:57,8.7,5:41,8.4,11:24,0.9,11:46,1.7
06,08,5:49,8.6,6:29,8.8,,,12:12,0.9
06,09,6:45,8.6,7:18,9.3,12:41,1.4,1:02,0.8
06,10,7:43,8.7,8:08,9.8,1:39,0.9,1:54,0.7
06,11,8:40,8.9,8:58,10.4,2:35,0.3,2:46,0.5
06,12,9:35,9.2,9:48,10.9,3:30,-0.3,3:38,0.3
06,13,10:29,9.4,10:39,11.3,4:22,-0.9,4:29,0.1
06,14,11:24,9.6,11:32,11.5,5:15,-1.3,5:22,-0.1
06,15,,,12:19,9.7,6:09,-1.5,6:16,-0.1
06,16,12:26,11.6,1:14,9.7,7:03,-1.6,7:12,0
06,17,1:22,11.4,2:10,9.7,7:58,-1.4,8:08,0.1
06,18,2:19,11.1,3:08,9.6,8:54,-1.1,9:08,0.3
06,19,3:19,10.6,4:08,9.5,9:52,-0.8,10:12,0.6
06,20,4:21,10.1,5:08,9.5,10:50,-0.3,11:17,0.7
06,21,5:24,9.6,6:06,9.5,11:48,0.1,,
06,22,6:27,9.1,7:03,9.5,12:22,0.8,12:45,0.5
06,23,7:30,8.7,7:58,9.6,1:26,0.8,1:42,0.9
06,24,8:30,8.5,8:49,9.6,2:28,0.7,2:37,1.1
06,25,9:25,8.4,9:36,9.7,3:23,0.5,3:27,1.3
06,26,10:15,8.4,10:20,9.7,4:12,0.4,4:12,1.4
06,27,11:01,8.4,11:02,9.7,4:56,0.3,4:54,1.5
06,28,11:44,8.4,11:42,9.7,5:38,0.3,5:34,1.5
06,29,,,12:24,8.4,6:17,0.3,6:13,1.6
06,30,12:20,9.7,1:02,8.3,6:54,0.3,6:50,1.6
07,01,12:57,9.6,1:40,8.3,7:30,0.3,7:28,1.6
07,02,1:34,9.5,2:16,8.3,8:06,0.4,8:06,1.6
07,03,2:12,9.4,2:54,8.4,8:42,0.4,8:47,1.6
07,04,2:51,9.3,3:33,8.5,9:20,0.5,9:32,1.5
07,05,3:35,9.1,4:15,8.7,10:01,0.5,10:20,1.4
07,06,4:22,8.9,4:58,9,10:44,0.6,11:11,1.2
07,07,5:12,8.8,5:44,9.3,11:30,0.7,,
07,08,6:07,8.6,6:35,9.7,12:05,1,12:20,0.7
07,09,7:07,8.6,7:29,10,1:03,0.6,1:15,0.7
07,10,8:09,8.7,8:26,10.5,2:04,0.2,2:13,0.6
07,11,9:10,8.9,9:23,10.9,3:04,-0.3,3:11,0.4
07,12,10:09,9.2,10:20,11.2,4:02,-0.8,4:08,0.2
07,13,11:07,9.4,11:17,11.5,4:58,-1.2,5:05,0
07,14,,,12:04,9.7,5:54,-1.4,6:02,-0.2
07,15,12:14,11.5,12:59,9.8,6:49,-1.5,6:58,-0.2
07,16,1:10,11.4,1:53,9.9,7:42,-1.4,7:54,-0.2
07,17,2:05,11.1,2:47,9.9,8:35,-1.1,8:52,0
07,18,3:01,10.6,3:42,9.8,9:28,-0.7,9:51,0.3
07,19,3:59,10,4:37,9.7,10:21,-0.2,10:52,0.5
07,20,4:58,9.3,5:31,9.6,11:15,0.3,11:53,0.7
07,21,5:58,8.8,6:26,9.4,,,12:09,0.9
07,22,6:59,8.3,7:21,9.3,12:55,0.9,1:05,1.3
07,23,8:00,8.1,8:15,9.2,1:57,0.9,2:02,1.6
07,24,8:57,8,9:07,9.3,2:55,0.8,2:56,1.7
07,25,9:49,8,9:54,9.4,3:46,0.7,3:45,1.7
07,26,10:35,8.1,10:38,9.5,4:32,0.6,4:30,1.6
07,27,11:19,8.2,11:19,9.6,5:15,0.5,5:11,1.5
07,28,11:59,8.3,11:58,9.7,5:54,0.4,5:49,1.4
07,29,,,12:36,8.5,6:30,0.3,6:27,1.3
07,30,12:35,9.7,1:12,8.6,7:04,0.2,7:04,1.2
07,31,1:11,9.7,1:46,8.7,7:37,0.2,7:41,1.1
08,01,1:47,9.6,2:20,8.9,8:10,0.2,8:20,1
08,02,2:24,9.5,2:56,9.1,8:46,0.2,9:03,0.9
08,03,3:06,9.3,3:35,9.3,9:26,0.3,9:50,0.8
08,04,3:52,9,4:19,9.5,10:09,0.5,10:41,0.7
08,05,4:43,8.8,5:08,9.6,10:56,0.6,11:36,0.6
08,06,5:39,8.6,6:02,9.8,11:49,0.8,,
08,07,6:41,8.4,7:02,10,12:36,0.4,12:47,0.9
08,08,7:48,8.5,8:05,10.3,1:41,0.2,1:50,0.8
08,09,8:54,8.7,9:08,10.7,2:46,-0.2,2:54,0.6
08,10,9:55,9,10:08,11,3:48,-0.6,3:55,0.2
08,11,10:53,9.4,11:06,11.3,4:45,-1,4:53,-0.1
08,12,11:48,9.8,,,5:39,-1.2,5:49,-0.4
08,13,12:01,11.3,12:40,10,6:31,-1.3,6:44,-0.5
08,14,12:55,11.2,1:30,10.2,7:21,-1.2,7:37,-0.4
08,15,1:47,10.8,2:19,10.1,8:09,-0.9,8:30,-0.3
08,16,2:38,10.3,3:09,10,8:57,-0.4,9:24,0
08,17,3:32,9.6,3:59,9.7,9:46,0.2,10:21,0.4
08,18,4:28,9,4:51,9.4,10:37,0.8,11:18,0.7
08,19,5:25,8.4,5:45,9.1,11:30,1.3,,
08,20,6:25,8,6:41,8.9,12:18,1,12:26,1.8
08,21,7:26,7.7,7:39,8.8,1:20,1.2,1:25,2
08,22,8:26,7.7,8:36,8.9,2:21,1.2,2:24,2
08,23,9:19,7.9,9:26,9.1,3:16,1,3:17,1.8
08,24,10:06,8.1,10:11,9.3,4:03,0.8,4:03,1.6
08,25,10:48,8.3,10:53,9.5,4:45,0.6,4:44,1.3
08,26,11:27,8.6,11:32,9.7,5:22,0.4,5:23,1.1
08,27,,,12:03,8.8,5:57,0.2,6:00,0.9
08,28,12:08,9.8,12:37,9.1,6:30,0.1,6:37,0.7
08,29,12:44,9.8,1:10,9.3,7:02,0,7:14,0.5
08,30,1:20,9.7,1:43,9.5,7:36,0.1,7:54,0.3
08,31,1:59,9.6,2:19,9.7,8:13,0.2,8:36,0.2
09,01,2:41,9.3,3:00,9.8,8:53,0.3,9:24,0.2
09,02,3:28,9,3:47,9.8,9:39,0.5,10:16,0.3
09,03,4:22,8.7,4:40,9.8,10:30,0.8,11:14,0.3
09,04,5:22,8.5,5:40,9.8,11:27,1,,
09,05,6:27,8.3,6:45,9.9,12:17,0.4,12:30,1.1
09,06,7:38,8.4,7:55,10.1,1:26,0.3,1:38,1
09,07,8:45,8.7,9:00,10.4,2:35,0,2:46,0.7
09,08,9:45,9.2,10:00,10.7,3:36,-0.4,3:47,0.2
09,09,10:39,9.6,10:55,10.9,4:31,-0.7,4:44,-0.2
09,10,11:30,10,11:48,10.9,5:22,-0.9,5:37,-0.5
09,11,,,12:18,10.3,6:10,-1,6:28,-0.7
09,12,12:38,10.7,1:03,10.4,6:55,-0.7,7:17,-0.6
09,13,1:26,10.3,1:47,10.3,7:39,-0.4,8:06,-0.4
09,14,2:14,9.8,2:32,10,8:23,0.2,8:54,0
09,15,3:03,9.2,3:18,9.6,9:09,0.7,9:46,0.4
09,16,3:55,8.6,4:08,9.2,9:57,1.3,10:40,0.8
09,17,4:51,8.1,5:02,8.8,10:49,1.8,11:38,1.2
09,18,5:49,7.8,5:59,8.6,11:46,2.1,,
09,19,6:49,7.6,7:00,8.5,12:39,1.4,12:46,2.2
09,20,7:49,7.6,7:59,8.6,1:41,1.4,1:48,2.2
09,21,8:43,7.9,8:52,8.9,2:38,1.3,2:44,1.9
09,22,9:30,8.2,9:39,9.2,3:26,1,3:31,1.5
09,23,10:11,8.6,10:20,9.5,4:06,0.7,4:13,1.1
09,24,10:49,9,11:00,9.7,4:43,0.4,4:52,0.7
09,25,11:24,9.3,11:38,9.8,5:17,0.2,5:30,0.4
09,26,11:58,9.7,,,5:51,0.1,6:08,0
09,27,12:16,9.8,12:32,10,6:26,0,6:48,-0.2
09,28,12:54,9.8,1:08,10.2,7:03,0,7:29,-0.4
09,29,1:35,9.6,1:48,10.3,7:43,0.2,8:13,-0.4
09,30,2:20,9.4,2:32,10.2,8:27,0.4,9:03,-0.3
10,01,3:10,9,3:23,10.1,9:16,0.7,9:58,0
10,02,4:08,8.7,4:22,9.9,10:12,1,11:00,0.2
10,03,5:12,8.4,5:27,9.7,11:14,1.2,,
10,04,6:21,8.4,6:38,9.7,12:06,0.3,12:22,1.2
10,05,7:31,8.6,7:49,9.8,1:16,0.3,1:33,1
10,06,8:36,9,8:53,10.1,2:23,0.1,2:41,0.6
10,07,9:32,9.5,9:51,10.3,3:22,-0.2,3:41,0.1
10,08,10:22,10,10:43,10.4,4:14,-0.4,4:35,-0.3
10,09,11:09,10.3,11:33,10.3,5:01,-0.5,5:25,-0.6
10,10,11:53,10.4,,,5:46,-0.4,6:12,-0.7
10,11,12:20,10.1,12:35,10.4,6:28,-0.1,6:57,-0.6
10,12,1:05,9.7,1:15,10.2,7:09,0.3,7:41,-0.4
10,13,1:49,9.3,1:56,9.9,7:50,0.7,8:25,0
10,14,2:34,8.8,2:39,9.5,8:33,1.2,9:11,0.5
10,15,3:22,8.3,3:26,9.1,9:18,1.7,10:02,0.9
10,16,4:15,7.9,4:19,8.7,10:09,2,10:56,1.3
10,17,5:11,7.7,5:16,8.5,11:05,2.3,11:54,1.5
10,18,6:09,7.6,6:16,8.4,,,12:03,2.4
10,19,7:06,7.7,7:15,8.4,12:52,1.5,1:04,2.2
10,20,8:00,8,8:10,8.7,1:49,1.4,2:02,1.9
10,21,8:47,8.4,8:59,8.9,2:38,1.1,2:53,1.5
10,22,9:28,8.9,9:43,9.2,3:20,0.8,3:37,1
10,23,10:06,9.4,10:25,9.5,3:58,0.5,4:18,0.4
10,24,10:42,9.9,11:06,9.6,4:35,0.3,4:59,-0.1
10,25,11:19,10.3,11:47,9.7,5:12,0.1,5:40,-0.5
10,26,11:57,10.6,,,5:51,0,6:22,-0.8
10,27,12:30,9.7,12:38,10.8,6:33,0,7:07,-1
10,28,1:15,9.6,1:23,10.8,7:18,0.1,7:55,-0.9
10,29,2:04,9.4,2:12,10.6,8:06,0.4,8:47,-0.7
10,30,2:58,9.1,3:07,10.3,8:59,0.6,9:45,-0.3
10,31,3:59,8.8,4:10,10,9:59,0.9,10:49,0